Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
105E,Trafficked,0,5,0.414850318,AlfaCorn,NT,60,105,71,1,5,E,9,,,,,
105E,Untrafficked,0,5,0.4522137,AlfaCorn,NT,60,105,71,1,5,E,9,0.152698048,1.297276357,0.198091568,2.36,3.2
105E,Trafficked,5,15,1.118630875,AlfaCorn,NT,60,105,71,1,5,E,9,,,,,
105E,Untrafficked,5,15,1.193004787,AlfaCorn,NT,60,105,71,1,5,E,9,0.17881549,1.78137886,0.318538133,1.79,2.6
105E,Trafficked,15,30,1.253449355,AlfaCorn,NT,60,105,71,1,5,E,9,,,,,
105E,Untrafficked,15,30,1.612893495,AlfaCorn,NT,60,105,71,1,5,E,9,0.202647658,1.639631845,0.332267553,1.03,3.1
105E,Trafficked,30,60,1.024497191,AlfaCorn,NT,60,105,71,1,5,E,9,,,,,
105E,Untrafficked,30,60,1.386252398,AlfaCorn,NT,60,105,71,1,5,E,9,0.191642651,1.327731827,0.254450048,0.96,2.2
105W,Trafficked,0,5,0.745817341,AlfaCorn,NT,60,105,71,1,5,W,9,,,,,
105W,Untrafficked,0,5,0.691243009,AlfaCorn,NT,60,105,71,1,5,W,9,0.202891566,1.571085693,0.318760037,2.54,3
105W,Trafficked,5,15,1.324597389,AlfaCorn,NT,60,105,71,1,5,W,9,,,,,
105W,Untrafficked,5,15,1.53566083,AlfaCorn,NT,60,105,71,1,5,W,9,0.206677266,1.711201307,0.353666407,1.94,3
105W,Trafficked,15,30,1.347405904,AlfaCorn,NT,60,105,71,1,5,W,9,,,,,
105W,Untrafficked,15,30,1.293563087,AlfaCorn,NT,60,105,71,1,5,W,9,0.215139442,1.739102947,0.374149638,2.59,3.7
105W,Trafficked,30,60,1.113029858,AlfaCorn,NT,60,105,71,1,5,W,9,,,,,
105W,Untrafficked,30,60,1.089406849,AlfaCorn,NT,60,105,71,1,5,W,9,0.187747036,2.089210545,0.392243086,1.05,2.1
110E,Trafficked,0,5,0.187934615,CC,CP,35,110,70,1,10,E,3,,,,,
110E,Untrafficked,0,5,-0.056101325,CC,CP,35,110,70,1,10,E,3,0.212546816,1.06758567,0.226911936,2.28,3.4
110E,Trafficked,5,15,0.557666949,CC,CP,35,110,70,1,10,E,3,,,,,
110E,Untrafficked,5,15,0.583474235,CC,CP,35,110,70,1,10,E,3,0.216087253,1.524897842,0.329510986,2.01,2.9
110E,Trafficked,15,30,1.097571805,CC,CP,35,110,70,1,10,E,3,,,,,
110E,Untrafficked,15,30,1.344133518,CC,CP,35,110,70,1,10,E,3,0.254545455,1.432624248,0.36466799,1.64,2.9
110E,Trafficked,30,60,1.070291908,CC,CP,35,110,70,1,10,E,3,,,,,
110E,Untrafficked,30,60,1.548193881,CC,CP,35,110,70,1,10,E,3,0.250837721,1.604364047,0.402435022,0.76,2.1
110W,Trafficked,0,5,0.3428326,CC,CP,35,110,70,1,10,W,3,,,,,
110W,Untrafficked,0,5,0.074766647,CC,CP,35,110,70,1,10,W,3,0.205928237,1.090260903,0.224515506,1.39,3.4
110W,Trafficked,5,15,0.577360632,CC,CP,35,110,70,1,10,W,3,,,,,
110W,Untrafficked,5,15,0.579172925,CC,CP,35,110,70,1,10,W,3,0.208997188,1.493189834,0.312072477,1.99,3.1
110W,Trafficked,15,30,1.130244932,CC,CP,35,110,70,1,10,W,3,,,,,
110W,Untrafficked,15,30,1.20719526,CC,CP,35,110,70,1,10,W,3,0.211693548,1.63681987,0.346504206,2.42,3.9
110W,Trafficked,30,60,1.04592928,CC,CP,35,110,70,1,10,W,3,,,,,
110W,Untrafficked,30,60,1.180986021,CC,CP,35,110,70,1,10,W,3,0.184979839,1.829425744,0.338406879,1.26,2.8
