PlotNo,Field,Block,Treatment,LevelStoverHarvest,Tillage,InitialCroppingSystem,EndingCropRotation,EndingCroppingSystem,Crop2017,Grain2008,Stover2008,Grain2009,Stover2009,Grain2010,Stover2010,Grain2011,Stover2011,Grain2012,Stover2012,Grain2013,Stover2013,Grain2014,Stover2014,Grain2015,Stover2015,Grain2016,Stover2016,Grain2017,Stover2017,Grain2018,Stover2018,Grain2019,Stover2019,Grain2020,Stover2020
115,71,1,1,None,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,186.2,0,144.3,0,199.4,0,171.1,0,121.4,0,142.7,0,152.09,0,194.7,0,204.1,0,198.8,0,243,0,215.1,0,187.4,0
208,71,2,1,None,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,168,0,142.4,0,202.3,0,172.8,0,118.5,0,139.8,0,175.23,0,191.3,0,203,0,208.4,0,249.4,0,216.4,0,187,0
322,70,3,1,None,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,169.2,0,149,0,182,0,170.4,0,54,0,130.3,0,161.21,0,188.1,0,182.4,0,191.6,0,181.6,0,204.2,0,141.4,0
420,70,4,1,None,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,165.6,0,146.6,0,189,0,176.7,0,131,0,143,0,175.27,0,193.3,0,202.1,0,205.5,0,207.8,0,211.4,0,162.7,0
106,71,1,2,None,No-till,Continuous Corn,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,Corn-Alfalfa,Corn,167.9,0,144.7,0,179.5,0,175.6,0,152.4,0,135.3,2.16,,,,,,,216.9,1.29,238.6,1.72,,,,
219,71,2,2,None,No-till,Continuous Corn,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,Corn-Alfalfa,Corn,170.1,0,150,0,186.8,0,172.3,0,141,0,147.6,2.16,,,,,,,224.5,,242.7,1.78,,,,
318,70,3,2,None,No-till,Continuous Corn,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,Corn-Alfalfa,Corn,165.4,0,135.3,0,169.8,0,178.5,0,109.3,0,133,2.1,,,,,,,192.5,1.27,216,1.61,,,,
422,70,4,2,None,No-till,Continuous Corn,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,Corn-Alfalfa,Corn,162.4,0,156.2,0,180.2,0,186.6,0,118.1,0,160.6,2.5,,,,,,,204.7,1.26,203.5,1.34,,2.77,,
110,71,1,3,Moderate,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,166.3,2.36,197.1,1.78,198.7,1.4,177.7,2.03,150,1,164.9,1.64,192.37,1.55,195.6,1.52,196.9,0.83,172.4,0.85,219.6,1.47,220,1.59,186.6,1.93
213,71,2,3,Moderate,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,175.4,2.67,193.3,2.01,206.9,0.66,181.4,1.66,139.9,1.59,147.2,1.62,189.33,1.29,202.3,1.53,189.6,1,202.7,0.88,224.4,1.48,197.8,1.95,186.1,1.72
305,70,3,3,Moderate,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,167.2,2.12,194.3,1.87,205,1.1,184.6,1.44,157,1.7,132.5,1.39,193.54,1.27,205.9,1.92,189.5,0.8,191.1,1.14,228,1.61,214.4,1.65,179.4,1.94
405,70,4,3,Moderate,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,172.8,2.25,198.6,1.91,207.6,1.8,182.9,1.79,173.5,1.78,173.2,0.56,201.73,1.42,205.4,1.71,196.7,1.24,143.7,0.97,212.1,1.28,214.1,1.95,180,1.72
116,71,1,4,Moderate,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,168,2.48,185.5,1.14,200.3,0.81,174.5,1.59,127,2.7,151.6,1.75,163.21,1.08,201.8,1.95,190.9,1.12,203.9,1.15,207.1,1.13,208,1.83,178.6,1.44
206,71,2,4,Moderate,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,169.7,2.63,177.6,2.22,190.4,0.87,169.8,1.68,126.7,0.99,155.2,1.41,173.77,1.26,195.1,1.45,188.8,1.06,206.9,1.14,215.5,1.28,202.9,2.04,180.6,1.6
304,70,3,4,Moderate,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,163.3,2.18,160.7,3.17,193.4,0.87,181.7,1.38,145.5,1.37,149.3,1.39,173.56,1.51,204,2.1,186,1.11,171.5,0.98,220.2,1.54,200.6,1.98,174.8,1.73
414,70,4,4,Moderate,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,177.4,2.7,172.9,2.13,202.4,0.87,181.8,1.23,160.3,1.63,162.9,1.55,180.23,1.24,211.4,1.71,188.4,1.27,199.5,1.06,219.6,1.14,208,1.98,193.4,1.78
119,71,1,5,High,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,181.4,3.19,182.1,3.89,207.2,1.81,179.1,3.24,148.8,1.42,155.8,2.35,190.89,2.43,190.5,2.59,204.9,1.24,196,1.23,245,2.28,215.1,2.43,194.4,2.1
207,71,2,5,High,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,173.8,2.83,192.5,3.78,211.8,2.39,175.3,2.2,132.3,2.02,157.6,3.02,200.98,2.14,202.3,3.31,201,1.21,203.1,1.16,242.5,2.29,229.4,2.51,180.7,1.79
307,70,3,5,High,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,170.8,2.54,199.8,2.27,220.2,1.87,179.1,4.59,127.3,1.84,149.7,2,178.84,2.31,225.7,3.49,203.4,1.08,163.3,0.91,239.9,2.15,218.4,1.93,185.9,1.15
402,70,4,5,High,Chisel,Continuous Corn,Continuous Corn,Continuous Corn,Corn,171.4,2.77,179.6,3.47,219.9,1.42,171.3,2.67,157.3,1.97,158.7,2.17,194.93,1.96,202.6,2.81,196.7,1.48,205.1,0.96,230.4,1.84,229.1,2.9,190.8,1.96
120,71,1,6,High,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,182.7,3.26,197.8,3.55,210.6,1.94,180.8,3.11,174.7,2.34,163.1,2.12,186.31,1.71,197.4,1.83,196.1,1.37,194.7,1.24,231.2,1.68,204.7,2.25,170.2,1.71
201,71,2,6,High,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,168.1,3.01,197.6,3.37,197.7,1.55,176.2,2.83,169,2.35,164.8,2.43,170.1,2.25,202.2,3.21,188.4,1.08,205.4,1.16,230.6,1.95,210,2.11,198.2,2.04
321,70,3,6,High,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,175.1,2.86,185.3,4.45,215,2.75,174.7,2.38,130.7,2.07,147.9,2.12,177.86,1.96,199.1,2.59,202.7,1.37,188.5,1.47,210.3,1.96,213.1,2.19,144.9,1.25
411,70,4,6,High,No-till,Continuous Corn,Continuous Corn,Continuous Corn,Corn,167.6,2.28,199.1,2.99,221.8,3.12,179.1,2.72,104.9,1.64,156.9,2.59,178.97,1.97,202.9,2.47,197.5,1.36,200.8,1.23,197.1,1.52,193.5,2.45,143.7,1.52
114,71,1,7,None,Chisel,Twin-Row Corn ,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,Corn-Alfalfa,Alfalfa,183.8,0,129.8,0,193.5,0,171.8,0,93.2,0,,,185.47,2.07,206.2,3.12,,,,,,,215.6,2.32,197.8,1.86
209,71,2,7,None,Chisel,Twin-Row Corn ,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,Corn-Alfalfa,Alfalfa,186.3,0,128.9,0,206.1,0,168.7,0,116.8,0,,,195.02,1.97,202.1,3.97,,,,,,,214.4,2.21,211,2.12
316,70,3,7,None,Chisel,Twin-Row Corn ,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,Corn-Alfalfa,Alfalfa,180.8,0,141.3,0,201.5,0,175.1,0,113.5,0,,,201.63,2.15,217.7,3.87,,,,,,,229.4,2.64,206.2,2.02
408,70,4,7,None,Chisel,Twin-Row Corn ,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,Corn-Alfalfa,Alfalfa,185.4,0,139.4,0,209.6,0,170.8,0,148.6,0,,,181.22,2.27,192.6,2.51,,,,,,,216.7,2.25,200.1,1.94
122,71,1,8,None,No-till,Twin-Row Corn ,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,Corn-Alfalfa,Alfalfa,174.1,0,127.4,0,173.2,0,168.2,0,121,0,109.6,2.41,181.27,2.32,,,,,,,238.5,1.83,223.8,2.6,,
218,71,2,8,None,No-till,Twin-Row Corn ,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,Corn-Alfalfa,Alfalfa,186.2,0,124.8,0,182.2,0,179.8,0,138.6,0,148.6,0,175.63,2.42,,,,,,,235,1.84,219.5,2.39,,
310,70,3,8,None,No-till,Twin-Row Corn ,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,Corn-Alfalfa,Alfalfa,180,0,141.6,0,163.7,0,182.1,0,118.6,0,132.1,2.13,182.23,1.85,,,,,,,218.9,1.87,235.9,2.53,,
415,70,4,8,None,No-till,Twin-Row Corn ,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,Corn-Alfalfa,Alfalfa,188.5,0,136.6,0,205.4,0,176.7,0,145.7,0,152.4,2.26,173.63,1.89,,,,,,,242.1,2.12,232.7,,,
