Date,DOY,Month,Year,Inches,mm
1/1/2008,1,1,2008,0,0
1/2/2008,2,1,2008,0,0
1/3/2008,3,1,2008,0,0
1/4/2008,4,1,2008,0,0
1/5/2008,5,1,2008,0.03,0.762
1/6/2008,6,1,2008,0,0
1/7/2008,7,1,2008,0.05,1.27
1/8/2008,8,1,2008,0.01,0.254
1/9/2008,9,1,2008,0,0
1/10/2008,10,1,2008,0,0
1/11/2008,11,1,2008,0,0
1/12/2008,12,1,2008,0.02,0.508
1/13/2008,13,1,2008,0,0
1/14/2008,14,1,2008,0,0
1/15/2008,15,1,2008,0,0
1/16/2008,16,1,2008,0.06,1.524
1/17/2008,17,1,2008,0.07,1.778
1/18/2008,18,1,2008,0,0
1/19/2008,19,1,2008,0,0
1/20/2008,20,1,2008,0.01,0.254
1/21/2008,21,1,2008,0.12,3.048
1/22/2008,22,1,2008,0,0
1/23/2008,23,1,2008,0.02,0.508
1/24/2008,24,1,2008,0,0
1/25/2008,25,1,2008,0,0
1/26/2008,26,1,2008,0,0
1/27/2008,27,1,2008,0.02,0.508
1/28/2008,28,1,2008,0,0
1/29/2008,29,1,2008,0.01,0.254
1/30/2008,30,1,2008,0,0
1/31/2008,31,1,2008,0,0
2/1/2008,32,2,2008,0,0
2/2/2008,33,2,2008,0,0
2/3/2008,34,2,2008,0.02,0.508
2/4/2008,35,2,2008,0.08,2.032
2/5/2008,36,2,2008,0.09,2.286
2/6/2008,37,2,2008,0.05,1.27
2/7/2008,38,2,2008,0,0
2/8/2008,39,2,2008,0.03,0.762
2/9/2008,40,2,2008,0,0
2/10/2008,41,2,2008,0.01,0.254
2/11/2008,42,2,2008,0.06,1.524
2/12/2008,43,2,2008,0.03,0.762
2/13/2008,44,2,2008,0,0
2/14/2008,45,2,2008,0,0
2/15/2008,46,2,2008,0,0
2/16/2008,47,2,2008,0,0
2/17/2008,48,2,2008,0.21,5.334
2/18/2008,49,2,2008,0,0
2/19/2008,50,2,2008,0,0
2/20/2008,51,2,2008,0,0
2/21/2008,52,2,2008,0,0
2/22/2008,53,2,2008,0,0
2/23/2008,54,2,2008,0,0
2/24/2008,55,2,2008,0.04,1.016
2/25/2008,56,2,2008,0.42,10.668
2/26/2008,57,2,2008,0,0
2/27/2008,58,2,2008,0,0
2/28/2008,59,2,2008,0.04,1.016
2/29/2008,60,2,2008,0.04,1.016
3/1/2008,61,3,2008,0,0
3/2/2008,62,3,2008,0.3,7.62
3/3/2008,63,3,2008,0,0
3/4/2008,64,3,2008,0.02,0.508
3/5/2008,65,3,2008,0.01,0.254
3/6/2008,66,3,2008,0,0
3/7/2008,67,3,2008,0,0
3/8/2008,68,3,2008,0,0
